历史行情.指标排序自选股 日期:2017-07-24,一 指标:MACD(12,26,9)   KDJ(9,3,3)   DMI(7,6)   EXPMA(12,50)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  K	  D	  J	  PDI	  MDI	  ADX	  ADXR	  EXP1	  EXP2	
000069	华侨城Ａ	-2.01	9.27	44360180	415713664	0.021	0.100	-0.159	38.852	37.022	42.514	16.000	30.667	47.777	54.690	9.455	9.152	
000070	特发信息	0.57	10.60	3367062	35677708	-0.289	-0.246	-0.086	50.645	37.716	76.503	30.000	33.000	54.309	77.155	10.692	11.231	
000078	海王生物	0.17	6.04	12671909	76394704	0.012	0.032	-0.041	36.827	42.621	25.240	4.673	22.430	52.621	55.379	6.096	6.065	
000088	盐 田 港	2.61	9.45	15743644	147768144	-0.273	-0.187	-0.174	27.130	25.735	29.922	15.984	38.525	67.375	74.917	9.648	9.888	
000089	深圳机场	0.11	9.19	6857610	63089072	-0.051	-0.012	-0.078	43.483	33.210	64.028	17.949	24.359	51.953	43.314	9.208	9.202	
000090	天健集团	4.39	11.88	24734110	289491840	0.188	0.232	-0.088	43.287	42.229	45.402	21.988	38.554	28.047	48.325	11.550	11.006	
000096	广聚能源	-0.49	14.19	630211	8923109	-0.211	-0.209	-0.004	66.853	52.065	96.430	16.894	31.063	55.737	56.235	14.245	14.745	
000099	中信海直					-0.284	-0.228	-0.112	26.352	19.940	39.177	10.714	44.388	82.785	67.943	11.458	11.962	
000100	TCL 集团					-0.010	0.001	-0.023	21.634	33.760	-2.617	30.909	32.727	11.893	19.248	3.487	3.488	
000150	宜华健康	-0.04	25.60	3858708	100234000	-0.000	-0.152	0.304	74.540	64.861	93.898	36.938	30.616	61.706	48.839	24.722	25.122	
000151	中成股份	0.73	18.02	5352332	97143264	-0.461	-0.384	-0.154	44.693	34.806	64.469	29.709	31.456	55.404	48.561	18.001	18.814	
000153	丰原药业	-0.73	9.56	4335407	41248336	-0.887	-0.626	-0.522	10.218	9.668	11.317	3.404	41.702	95.572	77.429	10.480	11.845	
000156	华数传媒	0.00	14.30	1777078	25305700	-0.191	-0.151	-0.079	35.252	27.812	50.133	19.209	35.593	63.959	54.525	14.374	14.881	
000157	中联重科	0.63	4.82	57967852	279722944	0.084	0.056	0.055	79.937	78.636	82.540	41.176	0.000	77.290	54.971	4.666	4.542	
000158	常山股份	1.22	10.75	23416344	246750640	-0.286	-0.143	-0.287	25.311	23.156	29.620	5.172	49.713	72.143	44.571	11.142	11.369	
000159	国际实业	-0.31	6.41	5598200	35743256	-0.126	-0.076	-0.099	31.525	32.899	28.775	19.251	42.246	51.514	47.976	6.563	6.956	
000166	申万宏源	0.00	5.84	41356128	242482336	0.061	0.046	0.029	68.885	65.982	74.690	34.021	21.650	19.074	43.306	5.769	5.700	
000301	东方市场					-0.002	0.008	-0.020	30.695	37.373	17.340	18.367	30.612	25.605	25.588	5.107	5.093	
000333	美的集团	3.63	43.42	60522160	2602473472	0.555	0.699	-0.287	61.851	48.133	89.287	18.153	9.234	20.228	27.498	42.099	39.954	
000338	潍柴动力	0.14	6.92	139419520	954841600	0.256	0.256	-0.000	78.128	75.724	82.935	15.761	18.478	22.732	26.691	6.768	6.207	
000400	许继电气	1.46	17.33	5688974	98410720	0.023	0.134	-0.221	37.296	31.697	48.494	14.873	36.392	60.532	41.000	17.334	17.231	
000401	冀东水泥	0.06	15.62	43393212	673088832	-0.246	-0.224	-0.044	33.495	34.428	31.628	16.761	43.315	31.654	40.320	15.753	16.304	
000402	金 融 街	1.73	12.36	26051328	320307200	0.206	0.151	0.110	71.195	70.143	73.301	40.502	8.961	71.575	46.798	12.052	11.643	
000403	ST生化					0.407	0.023	0.769	85.647	81.248	94.446	40.890	9.534	56.391	70.267	29.341	29.279	
000404	华意压缩	0.96	7.36	8424051	61854152	-0.159	-0.116	-0.086	35.462	32.797	40.791	15.819	42.938	71.432	57.753	7.461	7.846	
000407	胜利股份	8.68	8.51	17285612	138748864	-0.420	-0.340	-0.160	27.350	17.036	47.978	19.672	46.885	88.706	88.886	8.510	9.277	
000408	藏格控股	0.14	13.90	3706052	51889016	-0.007	-0.050	0.085	60.068	49.816	80.571	28.824	16.176	51.406	31.037	13.760	13.977	
000409	山东地矿	1.29	7.04	5274624	36972688	-0.758	-0.571	-0.373	12.625	12.266	13.344	12.171	59.539	71.684	59.281	7.734	9.229	
000410	*ST沈机	0.95	8.52	7502677	64079524	0.303	0.253	0.100	65.749	65.085	67.076	23.950	15.546	23.889	54.777	8.255	7.998	
000411	英特集团	-0.91	20.80	380901	7936865	-0.210	-0.126	-0.169	27.966	28.838	26.222	10.795	35.985	38.273	50.563	21.089	21.557	
000413	东旭光电	2.71	11.37	115142736	1294627072	0.099	0.170	-0.142	50.196	37.797	74.994	24.119	27.100	40.842	44.327	11.149	10.907	
000415	渤海金控	3.60	7.19	58024024	417118336	0.115	0.090	0.049	63.999	57.793	76.410	38.350	16.990	41.478	52.811	6.895	6.728	
000416	民生控股	1.82	8.93	23117128	207308832	0.055	-0.044	0.198	68.443	54.731	95.865	54.335	20.520	63.198	57.429	8.182	8.331	
000417	合肥百货	1.80	8.50	6868324	58053044	0.049	0.056	-0.015	42.936	39.194	50.420	24.806	28.682	13.577	48.627	8.357	8.304	
000418	小天鹅Ａ	3.13	45.50	3058313	137823344	-0.580	-0.516	-0.127	32.748	30.240	37.764	19.785	25.303	23.992	23.367	45.190	45.611	
000419	通程控股	0.45	6.76	3547257	23936846	-0.055	-0.044	-0.023	51.308	46.842	60.239	28.571	34.454	42.642	43.963	6.747	6.933	
000420	吉林化纤	1.48	3.43	17831896	61039808	0.081	0.054	0.054	77.952	77.956	77.946	23.894	18.584	26.050	47.666	3.339	3.275	
000421	南京公用	1.00	7.07	3026781	21346196	-0.052	-0.035	-0.034	47.158	38.455	64.563	26.446	35.537	46.741	43.881	7.058	7.233	
000422	湖北宜化	0.30	6.75	56943696	386906656	0.179	0.121	0.117	77.999	74.297	85.402	39.474	12.105	28.067	43.181	6.363	6.135	
000423	东阿阿胶	-0.95	65.82	7258151	479410336	-0.586	-0.354	-0.464	41.699	37.287	50.522	24.950	14.028	25.494	48.690	66.726	66.833	
000425	徐工机械	1.51	4.03	112058136	451253344	0.092	0.084	0.016	79.153	72.306	92.848	32.051	15.385	14.851	30.191	3.906	3.750	
000426	兴业矿业	1.96	9.90	34038628	336813760	0.340	0.304	0.073	82.186	74.342	97.874	26.431	23.433	15.021	25.573	9.397	8.730	
000428	华天酒店	0.21	4.87	3456257	16800912	-0.099	-0.082	-0.034	30.907	27.564	37.593	17.978	35.955	65.127	65.505	4.910	5.211	
000429	粤高速Ａ	4.03	9.29	42795224	394617568	0.162	0.072	0.180	77.150	69.226	92.997	44.444	4.714	77.307	64.430	8.823	8.471	
000430	张家界	0.78	10.28	1174280	12015583	-0.112	-0.078	-0.068	42.167	33.801	58.901	10.811	36.486	71.601	50.020	10.312	10.581	
000488	晨鸣纸业	-1.41	16.14	55974476	913298112	0.962	0.868	0.187	79.921	78.086	83.592	37.550	14.859	23.010	54.090	15.147	13.241	
000498	山东路桥	1.21	8.35	15926125	134475952	0.330	0.232	0.195	82.005	82.327	81.361	26.210	9.677	54.975	58.743	7.950	7.493	
000501	鄂武商Ａ	0.81	17.52	7998364	139589024	-0.047	-0.001	-0.091	68.500	52.359	100.781	21.212	22.944	51.728	62.552	17.273	17.182	
000502	绿景控股	-0.09	11.00	1885201	20745598	-0.473	-0.369	-0.208	29.818	27.357	34.740	13.624	55.313	78.573	62.668	11.431	12.658	
000503	海虹控股					-2.068	-1.510	-1.118	10.553	22.241	-12.823	1.764	69.545	77.459	69.546	30.787	35.516	
000504	南华生物	0.20	19.74	1657998	32794064	-0.280	0.106	-0.773	24.628	30.550	12.783	2.390	50.566	90.661	72.282	20.803	20.579	
000505	珠江控股	0.63	9.56	2861540	27172560	-0.137	-0.146	0.018	61.899	57.375	70.949	0.394	38.583	52.405	46.266	9.673	10.079	
000506	中润资源					-0.304	-0.158	-0.293	9.440	13.796	0.728	3.559	44.484	85.218	68.927	9.454	9.817	
000507	珠海港	3.10	10.97	45231932	490810112	-0.282	-0.069	-0.425	19.144	19.527	18.378	9.940	46.084	78.386	67.975	11.377	11.298	
000509	华塑控股					-0.067	-0.066	-0.002	66.427	60.389	78.505	0.000	53.646	93.599	52.312	6.085	6.323	
000510	金路集团	1.97	10.35	20721436	209208272	0.476	0.451	0.051	66.555	62.523	74.618	22.676	31.973	8.724	41.204	9.938	9.196	
000513	丽珠集团	-0.82	49.89	2208263	110986592	0.032	0.137	-0.210	48.967	36.582	73.736	20.526	6.508	36.828	30.480	49.670	48.881	
000514	渝 开 发	4.98	9.06	32770420	293433728	0.353	0.230	0.246	77.945	75.796	82.244	12.676	21.831	20.343	43.115	8.483	8.105	
000516	国际医学	0.78	5.15	14896868	76679304	-0.153	-0.135	-0.035	34.444	27.061	49.210	24.390	34.146	60.604	66.391	5.224	5.612	
000517	荣安地产	1.53	4.66	13794649	64450792	-0.027	-0.040	0.025	59.634	47.191	84.521	43.624	20.805	31.104	36.994	4.546	4.654	
000518	四环生物	3.91	8.24	13342206	108943704	0.150	0.120	0.060	75.763	66.867	93.554	30.222	18.222	17.611	23.970	7.815	7.602	
000519	中兵红箭	1.70	12.54	22967640	285572736	-0.150	-0.056	-0.187	35.591	33.313	40.147	18.110	40.551	59.488	56.898	12.500	12.976	
000520	长航凤凰	5.20	5.87	19551788	112729272	-0.086	-0.092	0.011	54.020	41.686	78.686	25.850	31.973	55.936	32.693	5.703	5.996	
000521	美菱电器	1.82	6.14	6950050	42318400	-0.063	-0.035	-0.056	36.703	26.842	56.426	24.490	34.694	54.040	50.521	6.100	6.241	
000523	广州浪奇	-0.42	9.39	4610437	43135536	-0.093	-0.055	-0.075	44.699	41.678	50.742	15.315	35.135	49.099	54.206	9.562	9.822	
000524	岭南控股	0.81	12.45	1403856	17498186	-0.106	-0.070	-0.074	48.608	45.894	54.037	20.238	22.619	18.783	50.095	12.551	12.905	
000525	红 太 阳	1.69	19.30	8541040	163962320	0.379	0.317	0.123	75.845	63.615	100.303	33.953	23.488	26.927	23.059	18.508	17.936	
000526	*ST紫学	-0.35	31.35	902317	28193236	-0.184	-0.742	1.116	65.363	70.377	55.336	49.675	10.954	65.857	55.837	30.973	32.715	
000528	柳 工	-1.27	9.30	37606644	356615616	0.271	0.229	0.084	77.967	77.446	79.009	33.906	11.159	32.573	46.666	9.059	8.577	
000529	广弘控股	1.10	8.27	2311075	18939074	-0.290	-0.191	-0.197	24.530	26.835	19.918	4.110	52.397	77.595	72.185	8.591	9.205	
000530	大冷股份	0.42	7.18	7355320	52111748	0.026	0.073	-0.095	33.840	34.096	33.327	5.500	46.000	46.423	49.956	7.252	7.227	
000531	穗恒运Ａ					-0.178	-0.088	-0.179	26.085	28.011	22.233	18.049	53.659	68.705	54.084	9.167	9.561	
000532	华金资本	1.52	12.69	4770908	60139468	-0.516	-0.383	-0.265	24.133	19.101	34.197	18.408	33.582	71.497	51.010	13.025	14.130	
000533	万 家 乐	-2.06	10.46	2527719	26582372	0.062	0.132	-0.140	29.645	39.078	10.778	6.731	27.885	54.572	53.685	10.779	10.629	
000534	万泽股份	1.17	11.23	1785261	19811678	-0.372	-0.362	-0.020	56.789	46.292	77.783	7.449	20.542	79.735	74.526	11.255	12.099	
000536	华映科技	0.19	5.38	6116906	32781006	-0.136	-0.097	-0.079	24.325	24.457	24.063	7.407	40.741	87.273	64.552	5.493	5.829	
000537	广宇发展	0.13	7.67	3544319	27252168	-0.169	-0.142	-0.054	43.669	31.543	67.921	28.177	32.597	55.674	54.612	7.645	8.019	
000538	云南白药	-0.36	90.52	2561979	233155072	-0.226	-0.217	-0.018	74.958	65.193	94.487	21.238	22.689	15.787	36.176	90.338	89.635	
000539	粤电力Ａ	1.11	5.45	8308529	45293068	0.028	0.015	0.028	57.522	56.025	60.516	36.486	6.757	52.614	37.577	5.357	5.326	
000540	中天金融	-0.99	8.03	267759968	2222669056	0.389	0.250	0.279	78.178	77.284	79.965	49.872	0.000	83.310	53.698	7.414	6.759	
000541	佛山照明	0.79	8.97	4837663	43183056	-0.057	-0.029	-0.056	32.539	33.145	31.329	12.381	39.048	63.159	64.107	9.024	9.156	
000543	皖能电力	3.06	5.73	16661466	95093168	-0.047	-0.036	-0.020	51.582	34.234	86.278	37.079	21.348	49.357	47.335	5.628	5.781	
000544	中原环保	0.84	20.47	5011972	100531080	0.010	0.175	-0.330	26.262	24.088	30.609	7.674	38.609	71.174	59.666	20.670	20.362	
000545	金浦钛业	0.95	6.40	46867772	298469408	0.172	0.148	0.048	78.480	70.898	93.644	21.845	18.932	18.249	37.913	6.169	5.908	
000546	金圆股份	-0.44	11.20	12675146	142877072	0.152	0.135	0.033	59.285	53.208	71.437	34.529	27.578	23.507	27.989	11.044	10.837	
000547	航天发展	2.35	10.02	16666736	164804208	-0.194	-0.171	-0.047	46.960	35.616	69.648	23.616	29.889	55.110	45.225	9.937	10.634	
000548	湖南投资	3.25	8.27	18105804	149118256	0.172	0.096	0.153	84.241	78.294	96.134	26.812	15.580	20.309	38.888	7.845	7.713	
000550	江铃汽车	-0.09	21.85	6899919	155216144	0.287	0.179	0.215	70.141	59.474	91.477	38.647	15.459	20.888	46.499	21.096	21.063	
000551	创元科技	3.69	9.00	14028031	125556648	-0.276	-0.247	-0.058	46.563	32.517	74.657	28.372	35.349	64.118	67.334	8.912	9.430	
000552	靖远煤电	-1.26	3.92	35432912	140697136	0.116	0.087	0.057	74.696	74.368	75.353	32.174	10.435	35.186	44.560	3.813	3.637	
000553	沙隆达Ａ	4.44	14.36	10113241	143189680	0.148	0.188	-0.080	51.572	42.059	70.598	25.754	34.803	41.681	45.007	13.906	13.638	
000554	泰山石油	1.85	8.27	12644670	103218600	-0.149	-0.185	0.071	62.986	53.297	82.363	18.341	33.624	42.700	38.118	8.131	8.761	
000555	神州信息					-0.057	-0.138	0.163	68.324	63.507	77.956	34.375	8.482	24.757	32.704	16.694	17.303	
000557	西部创业					-0.212	-0.106	-0.211	23.923	15.565	40.640	8.889	43.889	81.918	68.384	6.005	6.231	
000558	莱茵体育	-1.19	6.63	8655650	57276140	-0.287	-0.211	-0.154	25.520	20.111	36.338	17.297	42.703	61.765	54.032	6.887	7.458	
000559	万向钱潮	-0.20	10.11	11189270	112707544	0.022	0.085	-0.127	52.926	41.048	76.683	16.489	27.660	59.197	45.143	10.134	10.005	
000560	昆百大Ａ	-1.65	8.96	5815014	52497636	-0.041	-0.062	0.041	60.857	47.806	86.958	33.865	32.271	53.396	48.006	8.777	8.979	
000561	烽火电子	3.19	10.03	5738811	56481052	-0.141	-0.092	-0.098	40.271	32.074	56.665	24.354	34.686	65.848	58.510	9.900	10.415	
000563	陕国投Ａ	2.37	6.04	130559944	787127552	0.213	0.125	0.175	80.980	74.143	94.655	35.772	0.000	84.795	63.267	5.630	5.399	
000564	供销大集	1.01	6.98	8156020	56504340	0.102	0.035	0.134	71.333	70.154	73.691	33.482	7.143	69.438	67.727	6.823	6.817	
000565	渝三峡Ａ	5.28	10.56	20313104	210015504	0.032	0.018	0.027	61.473	50.410	83.600	24.289	26.357	28.594	31.962	10.065	10.203	
000566	海南海药	-0.23	13.30	2858298	37837500	0.037	0.034	0.007	76.634	76.436	77.030	13.738	44.728	44.634	59.697	13.294	13.247	
000567	海德股份	5.95	29.01	8051221	227762304	0.765	0.635	0.260	62.167	55.600	75.302	46.617	24.340	35.297	38.256	27.323	26.361	
000568	泸州老窖	2.36	52.59	10318694	548339520	0.654	0.382	0.543	80.236	72.302	96.103	41.529	15.760	31.430	35.919	50.125	48.174	
000570	苏常柴Ａ	0.66	7.65	7354013	56076336	0.141	0.073	0.136	80.563	72.245	97.201	34.483	15.948	22.828	28.329	7.340	7.264	
000571	新大洲Ａ					0.035	-0.026	0.122	83.240	73.055	103.609	37.423	10.429	43.883	28.151	7.736	7.737	
000572	海马汽车	1.23	4.92	7708340	37749976	-0.083	-0.058	-0.051	36.301	34.639	39.626	12.500	39.423	76.206	54.440	4.967	5.153	
000573	粤宏远Ａ	0.32	6.34	6176304	38997344	-0.087	-0.097	0.020	58.838	45.699	85.115	28.571	31.217	26.221	25.294	6.258	6.563	
000576	广东甘化	-0.06	16.69	1584300	26290642	-0.060	-0.093	0.066	86.589	78.593	102.580	22.261	14.841	49.249	53.025	16.596	16.651	
000581	威孚高科	-0.85	26.77	20789392	559103552	0.737	0.683	0.107	77.508	66.629	99.266	36.138	18.621	30.562	22.055	25.768	24.241	
000582	北部湾港	1.99	12.32	11468991	140119872	0.061	-0.040	0.201	73.265	67.189	85.417	14.734	29.952	10.631	27.874	11.969	12.146	
000584	友利控股	0.00	12.96	4771402	61579132	0.122	0.189	-0.134	62.728	59.875	68.433	14.021	29.630	58.265	39.670	13.000	12.521	
000585	东北电气	-1.27	5.46	10233419	55721588	-0.141	-0.210	0.138	65.669	62.159	72.690	23.711	14.433	18.893	31.083	5.346	5.829	
000586	汇源通信	-1.24	21.43	1248750	27131512	0.729	0.757	-0.056	49.672	63.199	22.617	6.737	29.895	36.525	60.128	21.487	20.095	
000587	金洲慈航	-0.74	8.02	16156598	128852872	0.183	0.138	0.090	85.103	85.402	84.506	22.667	36.889	16.823	54.846	7.887	7.573	
000589	黔轮胎Ａ	3.65	5.96	43296168	256487248	0.042	0.024	0.036	66.254	55.845	87.072	40.000	24.848	35.497	42.929	5.629	5.594	
000590	启迪古汉	-0.91	16.33	1008402	16495441	-0.096	-0.182	0.172	71.840	65.455	84.610	23.288	15.342	49.752	51.363	16.120	16.585	
000591	太阳能	0.57	5.29	14411313	75759448	-0.045	-0.045	0.000	38.395	40.345	34.495	25.620	35.537	34.953	43.567	5.335	5.502	
000592	平潭发展	3.17	5.53	49742476	276680672	-0.042	-0.037	-0.011	47.927	34.595	74.589	35.570	18.792	58.023	50.859	5.335	5.463	
000593	大通燃气	0.49	8.25	2194800	18056250	-0.152	-0.087	-0.129	28.365	31.227	22.641	9.551	52.809	79.137	57.175	8.453	8.812	
000595	*ST宝实	-2.10	4.66	14634535	68450184	0.026	0.036	-0.021	38.951	40.137	36.580	15.862	30.345	17.944	22.329	4.750	4.981	
000596	古井贡酒	0.47	49.06	3634290	180414592	-0.301	-0.292	-0.019	64.491	51.515	90.445	29.605	24.108	31.029	48.496	48.443	48.931	
000597	东北制药	1.44	11.27	10734414	120299912	0.054	0.116	-0.125	32.206	36.997	22.625	12.169	37.037	28.754	39.003	11.290	11.215	
000598	兴蓉环境	1.05	5.76	29564718	169994416	0.021	0.023	-0.004	59.929	48.166	83.454	27.692	27.692	26.318	37.847	5.693	5.665	
000599	青岛双星	0.45	6.64	8648997	56964384	-0.077	-0.060	-0.033	45.897	41.386	54.919	17.778	40.000	57.073	45.400	6.655	6.866	
000600	建投能源	1.25	10.53	22011530	230914704	-0.675	-0.528	-0.294	21.616	17.974	28.900	9.942	42.398	81.945	89.488	11.056	12.016	
000601	韶能股份	1.51	7.38	7877855	57906448	0.083	0.044	0.078	83.961	72.049	107.784	40.876	16.058	31.412	27.709	7.126	7.090	
